,genre,storyline,title
0,Adventure Comedy Drama,"Lasse Hallström ""The Hundred-Foot Journey"" directed this adaptation of the best-selling novel of the same name by W. Bruce Cameron, which follows a dog voiced by Josh Gad as he is reincarnated as different breeds belonging to various owners. Over the course of multiple lifetimes, the canine's existence intersects with that of a young boy who rescued him in 1962.",Smisao života jednog psa
1,Biography Drama Family,"13 year-old Bethany Hamilton is a champion surfer who was born to be in the water. But after a fun night out night surfing and what should be a fun day in the water, she is attacked by a shark and loses her arm. Rushed to the hospital, she remains calm, and maintains her faith in God. Now she has to re-learn how to do everything with only one arm - including how to surf. It will take her friends, family, and her Christian faith to get her back into the water, but if that is where she is meant to be, she will find a way to get there.",Duša surfera
2,Animation Adventure Comedy,"Arthur Christmas reveals the incredible, never-before seen answer to every child's question: 'So how does Santa deliver all those presents in one night?' The answer: Santa's exhilarating, ultra-high-tech operation hidden beneath the North Pole. But at the center of the film is a story about a family in a state of comic dysfunction and an unlikely hero, Arthur, with an urgent mission that must be completed before Christmas morning dawns.",Arthur Božić
3,Comedy Drama Family,"Benjamin has lost his wife. In a bid to start his life over, he purchases a large house that has a zoo. This is welcome news for his daughter, but his son is not happy about it. The zoo is in need of renovation and Benjamin sets about the work with the head keeper, Kelly, and the rest of the zoo staff. But, the zoo soon runs into financial trouble. The staff must get the zoo back to its former glory, pass a zoo inspection, and get it back open to the public.",Kupili smo Zoo
4,Animation Adventure Comedy,"Set in Scotland in a rugged and mythical time, ""Brave"" features Merida, an aspiring archer and impetuous daughter of royalty. Merida makes a reckless choice that unleashes unintended peril and forces her to spring into action to set things right.",Merida hrabra
5,Adventure Comedy Family,None,Muppeti
6,Animation Comedy Family,"In 1895, Dracula builds a resort in Transylvania, hidden from the humans, to raise his beloved daughter Mavis in a safe environment. In the present, the place is the Hotel Transylvania, where monsters bring their families to vacation far from the frightening humans. Dracula invites his friends - Frankenstein and his wife Eunice; Wayne and Wanda, the werewolves; Griffin, the invisible man; Murray, the mummy; Bigfoot, among others - to celebrate the 118th birthday of Mavis. When the party is ready to start, the 21-year-old Jonathan is walking through the forest and stumbles upon the hotel. Dracula sees Jonathan and disguises him as a monster to hide Jonathan from the guests. But Mavis also sees Jonathan and Dracula forces him to pose as a monster. Soon Mavis believes that Jonathan is the ""zing"" of her life despite the advice of her father about humans.",Hotel Transylvania
7,Comedy Drama Family,"After their wedding, newspaper writers John and Jennifer Grogan move to Florida. In an attempt to stall Jennifer's ""biological clock"", John gives her a puppy. While the puppy Marley grows into a 100 pound dog, he loses none of his puppy energy or rambunctiousness. Meanwhile, Marley gains no self-discipline. Marley's antics give John rich material for his newspaper column. As the Grogans mature and have children of their own, Marley continues to test everyone's patience by acting like the world's most impulsive dog.",Marley i ja
8,Animation Adventure Comedy,"A modern day retelling of the classic story The Frog Prince. The Princess and the Frog finds the lives of arrogant, carefree Prince Naveen and hardworking waitress Tiana crossing paths. Prince Naveen is transformed into a frog by a conniving voodoo magician and Tiana, following suit, upon kissing the amphibian royalty. With the help of a trumpet-playing alligator, a Cajun firefly, and an old blind lady who lives in a boat in a tree, Naveen and Tiana must race to break the spell and fulfill their dreams.",Princeza i žabac
9,Animation Comedy Family,"The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",Začarana
10,Action Drama Family,"In the near future when people become uninterested in boxing and similar sports, a new sport is created - Robot boxing wherein robots battle each other while being controlled by someone. Charlie Kenton, a former boxer who's trying to make it in the new sport, not only doesn't do well, he is very deeply in the red. When he learns that his ex, mother of his son Max, dies, he goes to figure out what to do with him. His ex's sister wants to take him in but Charlie has first say in the matter. Charlie asks her husband for money so he can buy a new Robot in exchange for turning Max over to them. He takes Max for the summer. And Max improves his control of his robot. But when the robot is destroyed, they go to a scrap yard to get parts. Max finds an old generation robot named Atom and restores him. Max wants Atom to fight but Charlie tells him he won't last a round. However, Atom wins. And it isn't long before Atom is getting major bouts. Max gets Charlie to teach Atom how to fight, and the ...",Pravi čelik
11,Animation Adventure Comedy,"After King Neptune's crown is stolen, SpongeBob and Patrick go on a quest in 6 days to retrieve his crown. On the way SpongeBob and Patrick defeat many evildoers using their brains and bronzes. While this is happening someone is taking over Bikini Bottom and SpongeBob and Patrick must defeat this mastermind.",The SpongeBob SquarePants Movie
12,Animation Family,"While traveling to California for the dispute of the final race of the Piston Cup against The King and Chick Hicks, the famous Lightning McQueen accidentally damages the road of the small town Radiator Springs and is sentenced to repair it. Lightning McQueen has to work hard and finds friendship and love in the simple locals, changing its values during his stay in the small town and becoming a true winner.",Auti
13,Animation Adventure Drama,"A wild stallion is captured by humans and slowly loses the will to resist training, yet, throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd.",Neustrašivi Spirit
14,Animation Adventure Drama,"This is the extraordinary tale of two brothers named Ramses II and Moses, one born of royal blood, and one an orphan with a secret past. Growing up the best of friends, they share a strong bond of free-spirited youth and good-natured rivalry. But the truth will ultimately set them at odds, as one becomes the ruler of the most powerful empire on Earth, and the other the chosen leader of his people. Their final confrontation will forever change their lives and the world.",Princ od Egipta
15,Animation Adventure Comedy,"Having been hopelessly repressed and facing eventual certain death at the chicken farm where they are held, Rocky the rooster and Ginger the chicken decide to rebel against the evil Mr. and Ms. Tweedy, the farm's owners. Rocky and Ginger lead their fellow chickens in a great escape from the murderous farmers and their farm of doom.",Pobuna u kokošinjcu
16,Animation Adventure Drama,"The daughter of the last Russian Tsar, Nicolas II, Anastasia is found by two Russian con men, Dimitri and Vladimir, who seek the reward that her grandmother, the Dowager Empress Marie, promised to the ones who'll find her. But the evil mystic of the Tsar family, Rasputin, still wants the Romanov family to be destroyed forever.",Anastazija
17,Animation Adventure Drama,"A half-wolf, half-husky named Balto gets a chance to become a hero when an outbreak of diphtheria threatens the children of Nome, Alaska in the winter of 1925. He leads a dog team on a 600-mile trip across the Alaskan wilderness to get medical supplies. The film is based on a true story which inspired the Iditarod dog sled race.",Balto
18,Animation Adventure Comedy,"During WWII in England, Charlie, Carrie, and Paul Rawlins are sent to live with Eglantine Price, who it turns out is an apprentice witch. Charlie blackmails Miss Price that if he is to keep her practices a secret, she must give him something, so she takes a bed knob from her late father's bed and places the ""famous magic traveling spell"" on it, and only Paul can activate it. Their first journey is to a street in London where they meet Emelius Browne, former headmaster of Miss Price's witchcraft training correspondence school. Miss Price tells him of a plan to find the magic words for a spell known as Substitutiary Locomotion, which brings inanimate objects to life. This spell will be her work for the war effort.",Bedknobs and Broomsticks
19,Animation Adventure Comedy,"Retired madame Adelaide Bonfamille enjoys the good life in her Paris villa with even classier cat Duchess and three kittens: pianist Berlioz, painter Toulouse and sanctimonious Marie. When loyal butler Edgar overhears her will leaves everything to the cats until their death, he drugs and kidnaps them. However retired army dogs make his sidecar capsize on the country. Crafty stray cat Thomas O'Malley takes them under his wing back to Paris. Edgar tries to cover his tracks and catch them at return, but more animals turn on him, from the cart horse Frou-Frou to the tame mouse Roquefort and O'Malley's jazz friends.",Mačke iz visokog društva
20,Animation Adventure Comedy,"In the town of Blithe Hollow, Norman Babcock is a boy who can speak to the dead, but no one besides his eccentric new friend, Neil, believes his ability is real. One day, Norman's estranged eccentric uncle tells him of an important annual ritual he must take up to protect the town from a curse cast by a witch it condemned centuries ago. Eventually, Norman decides to cooperate, but things don't go according to plan. Now, a magic storm of the witch threatens Blithe Hollow as the accursed dead rise. Together with unexpected new companions, Norman struggles to save his town, only to discover the horrific truth of the curse. With that insight, Norman must resolve the crisis for good as only he can.",ParaNorman
21,Action Adventure Family,"A beautiful, pure-hearted young woman, Maleficent has an idyllic life growing up in a peaceable forest kingdom, until one day when an invading army threatens the harmony of the land. Maleficent rises to be the land's fiercest protector, but she ultimately suffers a ruthless betrayal - an act that begins to turn her pure heart to stone. Bent on revenge, Maleficent faces a battle with the invading king's successor and, as a result, places a curse upon his newborn infant Aurora. As the child grows, Maleficent realizes that Aurora holds the key to peace in the kingdom - and perhaps to Maleficent's true happiness as well.",Gospodarica zla
22,Animation Action Adventure,"Soren, a young barn owl, is kidnapped by owls of St. Aggie's, ostensibly an orphanage, where owlets are brainwashed into becoming soldiers. He and his new friends escape to the island of Ga'Hoole, to assist its noble, wise owls who fight the army being created by the wicked rulers of St. Aggie's.",Legenda o čuvarima
23,Animation Comedy Family,"When young Victor's pet dog Sparky (who stars in Victor's home-made monster movies) is hit by a car, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them (and his parents) that despite his appearance, Sparky's still the good loyal friend he's always been.",Moje najdraže čudovište
24,Animation Adventure Comedy,"After the events of ""Ice Age: The Meltdown"", life begins to change for Manny and his friends: Scrat is still on the hunt to hold onto his beloved acorn, while finding a possible romance in a female sabre-toothed squirrel named Scratte. Manny and Ellie, having since become an item, are expecting a baby, which leaves Manny anxious to ensure that everything is perfect for when his baby arrives. Diego is fed up with being treated like a house-cat and ponders the notion that he is becoming too laid-back. Sid begins to wish for a family of his own, and so steals some dinosaur eggs which leads to Sid ending up in a strange underground world where his herd must rescue him, while dodging dinosaurs and facing danger left and right, and meeting up with a one-eyed weasel known as Buck who hunts dinosaurs intently.",Ledeno doba 3: Dinosauri dolaze
25,Action Adventure Comedy,"SON OF RAMBOW is the name of the home movie made by two little boys with a big video camera and even bigger ambitions. Set on a long English summer in the early '80s, SON OF RAMBOW is a comedy about friendship, faith and the tough business of growing up. We see the story through the eyes of Will, the eldest son of a fatherless Plymouth Brethren family. The Brethren regard themselves as God's 'chosen ones' and their strict moral code means that Will has never been allowed to mix with the other 'worldlies,' listen to music or watch TV, until he finds himself caught up in the extraordinary world of Lee Carter, the school terror and maker of bizarre home movies. Carter exposes Will to a pirate copy of Rambo: First Blood and from that moment Will's mind is blown wide open and he's easily convinced to be the stuntman in Lee Carters' diabolical home movie. Will's imaginative little brain is not only given chance to flourish in the world of film making, but is also very handy when it comes to...",Rambow sin
26,Animation Adventure Comedy,"Flint Lockwood thinks he's a genius. But none of the things he invented are things that make sense or are useful. However, he has the support of his mother but when she dies, he's left alone with his father who thinks he should give it up. When the community that he lives in is in an economic crisis because their primary source of income, a sardine cannery, was shut down, Flint decides to try his latest invention, a machine that can turn water into food. But something goes wrong and the machine ends up in the atmosphere. Later it starts raining food. The shifty mayor tries to use this as a way to help their community, but when Flint senses something wrong with the machine, the mayor convinces him to ignore it. However, as Flint predicts, chaos ensues.",Oblačno s ćuftama
27,Drama Family Romance,"To escape an abusive boyfriend, without announcing her plans in advance, Jean Gilkyson takes her young daughter Griff to the Wyoming ranch of her father-in-law, Einar. Jean and Einar are disaffected, as he blames her for the death of his son in a car accident. Einar is taking care of his friend Mitch, who was attacked by a bear, and Einar does not know that he has a granddaughter. While Mitch heals and forgives the bear, Einar also changes his feelings regarding Jean, finally understanding that accidents happen and accepting her and loving Griff.",U sjeni proslosti
28,Adventure Comedy Drama,"""But if you forget to come back for Madame Zeroni, you and your family will be cursed for always and eternity."" Those were the exact words spoken to young Elya Yelnats the day he forgot to repay Madame Zeroni. From then on his family was cursed with bad luck. One hundred years later Stanley Yelnats IV is accused of stealing a pair of cleats from a major league baseball player and sent to Camp Green Lake (a dry lake bed in the middle of the desert). It never rains at Camp Green Lake, it hasn't for one hundred years. The secretive and mysterious Warden has each inmate spend every day digging one hole to ""build character."" But when an artifact from the famous ""Kissin' Kate"" Barlow is found in a hole, the Warden forces the boys to work double time leading Stanley to deduce they're digging because the Warden is looking for something. But what? And how is the mystery of Camp Green Lake connected to Stanley's family curse?",Holes
29,Drama Family Sport,"Jim Morris is a Texas high school chemistry teacher and coach of the school's baseball team. He's always loved baseball and as a way of motivating his players, he agrees to go to a professional try-out if they win the championship. He once had aspirations to be a professional baseball player but an injury brought that to an end. Sure enough, the 39 year-old father of three finds himself at a camp for the Tampa Bay Devil Rays and he somehow seems to have regained his pitching arm, easily throwing a 98 mph fastball. Signed to a contract, he toils in the minor leagues while his supportive wife stays home raising their children. He soon finds himself called up to the big club and pitching for Tampa which is in Texas playing the Rangers. Based on a true story.",The Rookie
30,Adventure Comedy Family,"After being trapped in a jungle board game for 26 years, a Man-Child wins his release from the game. But, no sooner has he arrived that he is forced to play again, and this time sets the creatures of the jungle loose on the city. Now it is up to him to stop them.",Jumanji
